[2020-08-18 02:56:23,905][INFO]:GRPCServer initiated
[2020-08-18 03:35:29,889][INFO]:轮次39，轮次时间2020-08-18 03:34:59.767588，100K路由发送延时0:00:25.783134，100K路由传输耗时0:00:04.307198
[2020-08-18 03:36:29,882][INFO]:轮次40，轮次时间2020-08-18 03:35:59.754677，100K路由发送延时0:00:25.749266，100K路由传输耗时0:00:04.358977
[2020-08-18 03:37:30,087][INFO]:轮次41，轮次时间2020-08-18 03:36:59.753028，100K路由发送延时0:00:26.008947，100K路由传输耗时0:00:04.305844
[2020-08-18 03:38:29,832][INFO]:轮次42，轮次时间2020-08-18 03:37:59.767275，100K路由发送延时0:00:25.704501，100K路由传输耗时0:00:04.336793
[2020-08-18 03:39:30,302][INFO]:轮次43，轮次时间2020-08-18 03:38:59.767285，100K路由发送延时0:00:25.815405，100K路由传输耗时0:00:04.704054
[2020-08-18 03:40:30,004][INFO]:轮次44，轮次时间2020-08-18 03:39:59.766237，100K路由发送延时0:00:25.880004，100K路由传输耗时0:00:04.327630
[2020-08-18 03:41:30,446][INFO]:轮次45，轮次时间2020-08-18 03:40:59.766411，100K路由发送延时0:00:25.895776，100K路由传输耗时0:00:04.766038
[2020-08-18 03:42:32,061][INFO]:轮次46，轮次时间2020-08-18 03:41:59.770849，100K路由发送延时0:00:25.846940，100K路由传输耗时0:00:06.425585
[2020-08-18 03:43:29,900][INFO]:轮次47，轮次时间2020-08-18 03:42:59.755858，100K路由发送延时0:00:25.744776，100K路由传输耗时0:00:04.378299
[2020-08-18 03:44:30,428][INFO]:轮次48，轮次时间2020-08-18 03:43:59.757175，100K路由发送延时0:00:26.193682，100K路由传输耗时0:00:04.445998
[2020-08-18 03:45:29,851][INFO]:轮次49，轮次时间2020-08-18 03:44:59.758568，100K路由发送延时0:00:25.695017，100K路由传输耗时0:00:04.366444
[2020-08-18 03:46:30,316][INFO]:轮次50，轮次时间2020-08-18 03:45:59.760070，100K路由发送延时0:00:26.136973，100K路由传输耗时0:00:04.387983
[2020-08-18 03:47:30,144][INFO]:轮次51，轮次时间2020-08-18 03:46:59.767200，100K路由发送延时0:00:25.975790，100K路由传输耗时0:00:04.383037
[2020-08-18 03:48:29,705][INFO]:轮次52，轮次时间2020-08-18 03:47:59.767705，100K路由发送延时0:00:25.602890，100K路由传输耗时0:00:04.309889
[2020-08-18 03:49:30,045][INFO]:轮次53，轮次时间2020-08-18 03:48:59.757899，100K路由发送延时0:00:25.886290，100K路由传输耗时0:00:04.383752
[2020-08-18 03:50:29,893][INFO]:轮次54，轮次时间2020-08-18 03:49:59.756536，100K路由发送延时0:00:25.763466，100K路由传输耗时0:00:04.342129
[2020-08-18 03:51:29,961][INFO]:轮次55，轮次时间2020-08-18 03:50:59.766445，100K路由发送延时0:00:25.838011，100K路由传输耗时0:00:04.326074
[2020-08-18 03:52:29,743][INFO]:轮次56，轮次时间2020-08-18 03:51:59.764525，100K路由发送延时0:00:25.589399，100K路由传输耗时0:00:04.358524
